"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
208,26.04703207163203,26.00472030608279,26.007990046141742,25.879538108030772,25.58340599250397,25.030611735141235,25.94168806166192
210,26.050222884966104,26.0085419983389,26.011762981536265,25.882771264961036,25.58604195348306,25.030780439905413,25.94432407435471
212,26.053364029744046,26.012304204878944,26.015477185752445,25.885954226756496,25.588637094717967,25.03094674368259,25.94691926651052
214,26.05645647823809,26.016007618327137,26.019133301048726,25.889088003860763,25.591192497505006,25.031099993452756,25.94947471940185
216,26.05950089453364,26.019653540972797,26.022732657484028,25.89217328733497,25.593708473091908,25.031252470333413,25.95199074433509
218,26.062498109367596,26.023242945434333,26.026276213194876,25.895210940945674,25.596185749127415,25.03140405393134,25.95446806897246
220,26.065448953477755,26.026776804331405,26.02976492631859,25.89820182846114,25.598625053260037,25.031554623852287,25.95690742097645
222,26.068354257602834,26.030256090284695,26.033199754994655,25.901146813649632,25.601027113139878,25.031704059703145,25.95930952801143
224,26.071214852482342,26.033681775916364,26.03658165736266,25.90404676028089,25.603392656416815,25.03185224109012,25.961675117740697
226,26.074031568856697,26.037054833849595,26.039911591564135,25.906902532125457,25.605722410742317,25.031999047619536,25.964004917829357
228,26.07680527081635,26.04037583525627,26.04319012633397,25.9097145842116,25.608016884326673,25.03214137870117,25.966299436423924
230,26.079536777461215,26.04364589290782,26.046418355756884,25.91248392300264,25.610276881428433,25.032280154321654,25.96855947782376
232,26.082226293838005,26.04686534996989,26.049596637715297,25.91521052272998,25.61250212983265,25.03241633451279,25.97078476981318
234,26.084874583477074,26.050035081074782,26.052725836446086,25.91789511975668,25.614693230740215,25.03254971084658,25.972975913599385
236,26.087482373739192,26.05315592104745,26.055806778173235,25.92053839543729,25.61685072540655,25.032680114371203,25.97513345044331
238,26.09005035984063,26.056228679415938,26.058840264926687,25.92314099414915,25.618975114398665,25.032807429803086,25.977257880917875
240,26.092579147690856,26.05925426737946,26.06182719394093,25.92570368666958,25.621067022081945,25.032932026536002,25.97934982942104
242,26.095069120755,26.06223333999452,26.064768213807213,25.92822696603713,25.623126770617375,25.033054493015072,25.981409618124133
244,26.097520805767147,26.0651665459323,26.06766396532788,25.930711365602008,25.625154760049156,25.03317487043688,25.983437647076983
246,26.09993477820518,26.06805460707716,26.070515159275317,25.93315750023993,25.627151496442423,25.033293256692843,25.985434422357116
248,26.102311611335665,26.070898238219513,26.073322499507015,25.935565978665352,25.629117479332024,25.033409737416207,25.987400443511092
250,26.10465186184166,26.07369813766826,26.076086674317423,25.937937388489956,25.63105317837227,25.033524401986313,25.989336180203622
252,26.106956092982898,26.076455010268603,26.0788083781743,25.940272325694025,25.63295907506648,25.03363733829707,25.991242113948545
254,26.10922470032841,26.079169218999425,26.0814879704281,25.942571106732146,25.63483543488536,25.033748317279503,25.99311851021639
256,26.11145828293928,26.081841541692654,26.084126217091296,25.94483438726121,25.63668278545373,25.033857494495862,25.994965896645454
258,26.113657373168337,26.084472620182794,26.086723750864678,25.947062711741353,25.638501568457116,25.033964899418095,25.99678471492973
260,26.115822502722665,26.08706309499047,26.089281203160397,25.949256623557346,25.64029222475034,25.034070560298517,25.99857540593291
262,26.1179542033114,26.08961360663676,26.091799205391055,25.951416666094985,25.642055195188334,25.034174505389785,26.000338410518566
264,26.12005300664265,26.0921247956432,26.094278388970395,25.95354338274018,25.643790920626714,25.03427676294433,26.00207416955061
266,26.12211944442589,26.094597302531668,26.096719385312156,25.95563731687895,25.645499841920753,25.034377361214695,26.00378312389381
268,26.124153937732615,26.097031620650625,26.099122681417555,25.9576989038473,25.647182320020136,25.034476398084337,26.00546563450945
270,26.126156875874983,26.099428201098988,26.10148872283179,25.959728547964062,25.648838692936067,25.034573991425475,26.007122039422484
272,26.128128906867857,26.10178783911448,26.10381829278134,25.961726906202045,25.650469485524525,25.0346700962927,26.00875286349344
274,26.130070544729676,26.104111151686254,26.106111999588563,25.9636945046704,25.652075125864314,25.034764752073727,26.010358534810507
276,26.131982303479106,26.106398755803923,26.108370451576832,25.96563186947907,25.65365604203413,25.03485799815593,26.011939481461866
278,26.133864697134925,26.108651268458118,26.110594257069522,25.967539526737653,25.655212662113456,25.03494987392611,26.013496131535703
280,26.13571823971671,26.110869306639472,26.112784024390464,25.96941800255655,25.65674541418133,25.035040418772326,26.01502891312066
282,26.13754344524392,26.11305348733896,26.1149403618644,25.971267823046844,25.658254726317807,25.035129672081496,26.016538254306056
284,26.13934036888503,26.115203799046583,26.117063262852014,25.97308888043966,25.659740710834797,25.035217413524663,26.018024267390842
286,26.14110967506025,26.117321064761256,26.119153537248224,25.974881908616055,25.66120389931308,25.035303767617563,26.01948748397257
288,26.1428519459634,26.119405994854844,26.12121188474663,25.976647527865964,25.662644766747746,25.03538881233493,26.020928379058716
290,26.144567667858098,26.121459168638864,26.123238876799576,25.978386226865325,25.664063721517607,25.035472572395918,26.02234736103594
292,26.146256479187002,26.12348013530135,26.125234075321885,25.980097675228592,25.665460356245774,25.03555499641783,26.02374402252667
294,26.147919198602096,26.125469878015167,26.127198447556054,25.981782682746314,25.66683539912816,25.03563613895591,26.02511909173836
296,26.14955622852898,26.127428874226382,26.129132465124997,25.983441657100286,25.668189177875945,25.03571601720415,26.02647289638901
298,26.151167971392795,26.129357601381514,26.13103659965151,25.985075005972988,25.669522020200077,25.035794648356443,26.027805764196728
300,26.15275482961914,26.13125653692788,26.132911322758844,25.98668313704701,25.670834253811734,25.035872049606553,26.02911802288014
302,26.154317205634072,26.133126158312223,26.134757106070822,25.98826645800449,25.672126206422206,25.035948238148592,26.030410000157303
304,26.15585550186364,26.13496694298243,26.13657442121115,25.98982537652904,25.67339820574358,25.036023231176443,26.03168202374718
306,26.157370041743945,26.136779299940883,26.13836367059986,25.99136021582052,25.674650566031858,25.03609705198852,26.032934407908385
308,26.158861131576543,26.13856362334269,26.140125241644853,25.99287128075315,25.675883598625717,25.036169725207458,26.0341674639796
