"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","T_pumpB_out.T"
442,26.239574902578568,26.237169906350402,25.46134175249341,25.81972010886909
444,26.239837059362173,26.23745905102959,25.461483170817303,25.8198615300318
446,26.240094033983326,26.237742480099257,25.461621793712595,25.82000015570941
448,26.240345924999758,26.238020302271764,25.46175767436938,25.820136039093768
450,26.240592828324054,26.238292623341124,25.461890864553595,25.820269231951443
452,26.240834853472563,26.238559564066065,25.4620214233434,25.820399793361958
454,26.241072140818858,26.238821279154138,25.462149426406484,25.820527798994476
456,26.241304745368268,26.23907782936709,25.46227490350651,25.820653278613122
458,26.24153275823886,26.23932931519886,25.462397903822136,25.820776281397798
460,26.241756268303845,26.239575834666937,25.462518475322497,25.820896855318324
462,26.241975362190885,26.239817483311924,25.4626366647679,25.821015047136143
464,26.242190124282786,26.240054354197298,25.462752517708225,25.821130902401933
466,26.242400636716923,26.24028653791055,25.462866078484865,25.821244465457994
468,26.242606979385812,26.240514122561706,25.462977390229128,25.821355779436203
470,26.242809276584865,26.24073724529086,25.463086519380965,25.82146491077833
472,26.243007592295328,26.240955976644898,25.46319350065056,25.821571894195245
474,26.24320199421328,26.241170391273556,25.463298370670543,25.82167676631991
476,26.243392558202743,26.241380572848072,25.463401170337022,25.821779568049806
478,26.24357935821314,26.241586602927498,25.463501939511332,25.821880339246434
480,26.243762466279065,26.24178856095972,25.463600717017755,25.821979118735157
482,26.24394195252097,26.241986524279866,25.463697540645796,25.82207594430639
484,26.24411788514425,26.24218056811179,25.46379244714882,25.822170852714066
486,26.24429034164035,26.24237077792651,25.46388547846226,25.82226388589436
488,26.244459410311663,26.242557251124083,25.463976682549458,25.822355091811687
490,26.244625139840707,26.2427400413888,25.464066085407524,25.822444496463902
492,26.244787595676883,26.24291922090623,25.46415372236862,25.822532135183224
494,26.244946841952185,26.243094860409826,25.464239628060056,25.82261804259832
496,26.245102941512698,26.243267029213428,25.464323836422693,25.8227022526504
498,26.245255955948494,26.243435795247308,25.464406380727212,25.822784798610996
500,26.24540594562535,26.243601225090913,25.464487293591958,25.822865713098963
502,26.24555296971613,26.243763384008105,25.46456660699954,25.82294502809748
504,26.24569708623079,26.24392233598047,25.464644352314906,25.823022774972287
506,26.24583835204811,26.24407814374257,25.464720560301487,25.823098984487387
508,26.245976822946943,26.244230868815237,25.464795261139614,25.823173686823452
510,26.246112553636124,26.244380571540148,25.464868484442547,25.823246911594538
512,26.246245597786753,26.244527311114837,25.464940259274556,25.823318687865537
514,26.246376008062327,26.24467114562532,25.465010614167852,25.823389044169403
516,26.246503836150453,26.244812132081336,25.465079577139647,25.823458008523573
518,26.246629132793203,26.24495032645092,25.46514717570966,25.82352560844845
520,26.24675195130618,26.24508578758372,25.46521343684134,25.823591870907762
522,26.246872344381643,26.24521857364556,25.46527838702883,25.82365682239731
524,26.246990356003323,26.245348733100002,25.465342052491962,25.823720489136576
526,26.247106033928787,26.245476318630438,25.465404458921682,25.823782896816624
528,26.247219425167316,26.245601382096027,25.465465631595578,25.823844070716746
530,26.2473305760131,26.245723974567966,25.465525595397537,25.82390403572049
532,26.247439532077635,26.245844146365073,25.465584374832076,25.823962816332823
534,26.247546338321797,26.245961947090848,25.465641994043324,25.824020436698902
536,26.247651039089703,26.24607742566826,25.46569847683162,25.82407692061929
538,26.247753678139873,26.246190630376248,25.465753846670793,25.824132291568162
540,26.247854298678988,26.246301608886313,25.465808126725335,25.824186572710687
542,26.247952943394296,26.24641040829755,25.465861339867445,25.82423978691952
544,26.248049654485555,26.246517075173244,25.465913508694427,25.824291956792308
546,26.248144473698687,26.246621655577258,25.46596465554586,25.824343104669538
548,26.24823744235738,26.24672419510904,25.466014802520647,25.824393252649884
550,26.248328546250434,26.246824677899383,25.466063944138625,25.8244423952533
552,26.248417806097166,26.246923126747276,25.466112092218225,25.824490544297873
