"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
376,26.229085487848067,26.231798147307074,25.457724677767885
378,26.2296549500698,26.23231428210812,25.458003536588024
380,26.23021323793688,26.232820286392496,25.45827693682196
382,26.23076056657129,26.233316355995328,25.458544982959722
384,26.231297141475295,26.233802679476582,25.458807771150248
386,26.231823187134808,26.234279460038408,25.45906541781875
388,26.232338900360162,26.234746877196983,25.459318011487596
390,26.232844499267287,26.23520512926558,25.4595656617617
392,26.233340172297346,26.235654385877353,25.459808446106365
394,26.233826115071054,26.236094823763153,25.460046449939057
396,26.23430252615907,26.236526622935628,25.460279768993075
398,26.234769582064075,26.236949942496096,25.460508491920052
400,26.235227481636286,26.23736496246687,25.46073270961864
402,26.235676387358637,26.237771830041027,25.46095252700553
404,26.236116486968456,26.23817071500804,25.461168036342826
406,26.236547955962635,26.238561776494464,25.46137932805567
408,26.23697096094503,26.238945165972666,25.461586488717273
410,26.237385673163715,26.23932103885653,25.461789605689376
412,26.237792247090113,26.239689535832497,25.461988740063987
414,26.238190841472772,26.240050801473387,25.46218396592957
416,26.23858161672257,26.240404981342806,25.462375359642294
418,26.238964728897656,26.240752217210627,25.462562992540313
420,26.239340321650104,26.241092638996918,25.46274693218612
422,26.239708526977722,26.24142636432731,25.462927253985697
424,26.240069497063644,26.24175353135871,25.463104027334396
426,26.24042337752752,26.242074271587455,25.463277323413024
428,26.240770306338447,26.242388710520743,25.46344721355723
430,26.24111041419434,26.242696967974155,25.463613769250458
432,26.24144385042422,26.24299917834793,25.463777061598023
434,26.241770756756353,26.243295470091937,25.463937161859292
436,26.2420912489153,26.2435859483233,25.46409412461486
438,26.2424054259306,26.24387070317897,25.464247993737843
440,26.24271344385096,26.244149875958612,25.464398849672136
442,26.243015434330516,26.244423586072855,25.464546757215828
444,26.243311500759376,26.244691927149063,25.46469176436807
446,26.243601733152616,26.24495498061293,25.464833911178005
448,26.24388627711329,26.245212878599716,25.46497327073422
450,26.244165253972426,26.245465731103366,25.46510990169878
452,26.24443875760261,26.245713622994742,25.465243850736158
454,26.24470687307695,26.24595663109409,25.465375160665133
456,26.244969733853907,26.246194876490506,25.465503895447398
458,26.245227451785638,26.246428460505,25.465630109603183
460,26.245480096489757,26.246657446327106,25.465753838557646
462,26.245727729921384,26.246881890227257,25.465875114270773
464,26.245970480586664,26.247101908563252,25.465993998793067
466,26.24620844652594,26.247317590185446,25.466110540400052
468,26.24644172577922,26.247529023945106,25.466224787367253
470,26.246670416386962,26.247736298692587,25.46633678797042
472,26.246894616389397,26.24793950327893,25.466446590485077
474,26.24711442382676,26.248138726555283,25.466554243186636
476,26.24732987815804,26.24833400441952,25.466659763625273
478,26.247541049209133,26.24852540021942,25.466763185277784
480,26.24774807074874,26.24871303510116,25.466864575159377
482,26.247951034559435,26.24889699225895,25.46696397826355
484,26.248150032423666,26.24907735488756,25.4670614395838
486,26.248345156124458,26.24925420618132,25.467157004113744
488,26.248536497444263,26.24942762933489,25.46725071684665
490,26.248724148165763,26.24959770754259,25.467342622775902
492,26.248908034941735,26.249764374369704,25.467432685479196
494,26.249088209088143,26.249927676341883,25.467520929998102
496,26.249264851262467,26.25008777718648,25.467607445145347
498,26.249438041001042,26.250244749001297,25.467692269876068
500,26.24960785784009,26.25039866388346,25.467775443145968
502,26.249774381315717,26.250549593930657,25.467857003910183
504,26.249937690964032,26.25069761124047,25.467936991124645
506,26.25009786632114,26.25084278791047,25.468015443744378
508,26.25025481041513,26.25098503585349,25.468092313409613
510,26.250408585871526,26.251124411820285,25.46816763071098
512,26.250559350162632,26.251261058637226,25.468241473156866
514,26.250707170763974,26.251395037456348,25.46831387373703
516,26.250852115151304,26.25152640943014,25.46838486544044
518,26.250994250800034,26.25165523571087,25.468454481256288
520,26.25113364518569,26.251781577450913,25.46852275417399
